StationName,ParameterName
Hinton-Drinnan,Nitrogen Dioxide
Hinton-Drinnan,Fine Particulate Matter
Hinton-Drinnan,Outdoor Temperature
Hinton-Drinnan,Total Oxides of Nitrogen
Hinton-Hillcrest,AQHI
Hinton-Hillcrest,Wind Direction
Hinton-Hillcrest,Total Oxides of Nitrogen
Hinton-Hillcrest,Wind Speed
Hinton-Hillcrest,Sulphur Dioxide
Hinton-Hillcrest,Ozone
Hinton-Hillcrest,Outdoor Temperature
Hinton-Hillcrest,Nitric Oxide
Hinton-Hillcrest,Relative Humidity
Hinton-Hillcrest,Fine Particulate Matter
Hinton-Hillcrest,Nitrogen Dioxide
Hinton-Hillcrest,Total Reduced Sulphur
St. Albert,Sulphur Dioxide
St. Albert,Carbon Monoxide
St. Albert,Nitrogen Dioxide
St. Albert,AQHI
St. Albert,Relative Humidity
St. Albert,Total Oxides of Nitrogen
St. Albert,Nitric Oxide
St. Albert,Fine Particulate Matter
St. Albert,Wind Direction
St. Albert,Ozone
St. Albert,Outdoor Temperature
St. Albert,Wind Speed
Edmonton McCauley,Total Oxides of Nitrogen
Edmonton McCauley,Carbon Monoxide
Edmonton McCauley,Nitrogen Dioxide
Edmonton McCauley,Methane
Edmonton McCauley,Total Hydrocarbons
Edmonton McCauley,AQHI
Edmonton McCauley,Nitric Oxide
Edmonton McCauley,Wind Direction
Edmonton McCauley,Wind Speed
Edmonton McCauley,Ozone
Edmonton McCauley,Relative Humidity
Edmonton McCauley,Fine Particulate Matter
Edmonton McCauley,Outdoor Temperature
Edmonton McCauley,Non-methane Hydrocarbons
Edmonton East,Relative Humidity
Edmonton East,Wind Direction
Edmonton East,Sulphur Dioxide
Edmonton East,Nitric Oxide
Edmonton East,Ozone
Edmonton East,Total Oxides of Nitrogen
Edmonton East,Wind Speed
Edmonton East,Fine Particulate Matter
Edmonton East,Carbon Monoxide
Edmonton East,Hydrogen Sulphide
Edmonton East,Outdoor Temperature
Edmonton East,AQHI
Edmonton East,Nitrogen Dioxide
Edmonton East,Methane
Edmonton East,Non-methane Hydrocarbons
Edmonton East,Total Hydrocarbons
Edmonton Lendrum,Total Oxides of Nitrogen
Edmonton Lendrum,Outdoor Temperature
Edmonton Lendrum,Non-methane Hydrocarbons
Edmonton Lendrum,Sulphur Dioxide
Edmonton Lendrum,AQHI
Edmonton Lendrum,Wind Direction
Edmonton Lendrum,Nitric Oxide
Edmonton Lendrum,Carbon Monoxide
Edmonton Lendrum,Methane
Edmonton Lendrum,Fine Particulate Matter
Edmonton Lendrum,Relative Humidity
Edmonton Lendrum,Ozone
Edmonton Lendrum,Nitrogen Dioxide
Edmonton Lendrum,Total Hydrocarbons
Edmonton Lendrum,Wind Speed
Leduc Sensor,Outdoor Temperature
Leduc Sensor,Nitrogen Dioxide
Leduc Sensor,Relative Humidity
Leduc Sensor,Ozone
Leduc Sensor,Fine Particulate Matter
Leduc Sensor,AQHI
O’Morrow Station 1,Outdoor Temperature
O’Morrow Station 1,Wind Speed
O’Morrow Station 1,Sulphur Dioxide
O’Morrow Station 1,Total Reduced Sulphur
O’Morrow Station 1,Relative Humidity
O’Morrow Station 1,Wind Direction
O’Morrow Station 1,Fine Particulate Matter
Poacher’s Landing Station 2,Total Reduced Sulphur
Poacher’s Landing Station 2,Wind Speed
Poacher’s Landing Station 2,Wind Direction
