community_ab,community_eccc,ab_reading_date,ab_current_aqhi,ab_forecast_today,ab_forecast_tomorrow,ab_forecast_tonight,ab_pulled_at_utc,eccc_current_aqhi,eccc_pulled_at_utc,diff_ab_minus_eccc,abs_diff,flag
Red Deer,Red Deer,2026-06-06 13:00,3.0,2.0,2,2,2026-06-06T19:48:08+00:00,3.0,2026-06-06T19:48:08+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-06 13:00,1.0,2.0,2,2,2026-06-06T19:48:08+00:00,1.0,2026-06-06T19:48:08+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-06 13:00,2.0,2.0,2,2,2026-06-06T19:48:08+00:00,2.0,2026-06-06T19:48:08+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-06 13:00,3.0,2.0,2,2,2026-06-06T19:48:08+00:00,3.0,2026-06-06T19:48:08+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-06 13:00,2.0,3.0,2,3,2026-06-06T19:48:08+00:00,2.0,2026-06-06T19:48:08+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-06 13:00,3.0,3.0,2,3,2026-06-06T19:48:08+00:00,3.0,2026-06-06T19:48:08+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-06 13:00,2.0,2.0,2,2,2026-06-06T19:48:08+00:00,2.0,2026-06-06T19:48:08+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-06 13:00,2.0,2.0,2,2,2026-06-06T19:48:08+00:00,2.0,2026-06-06T19:48:08+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-06 13:00,2.0,2.0,2,3,2026-06-06T19:48:08+00:00,2.0,2026-06-06T19:48:08+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-06 13:00,2.0,2.0,2,2,2026-06-06T19:48:08+00:00,,,,,OK
Edmonton,Edmonton,2026-06-06 14:00,2.0,3.0,2,3,2026-06-06T21:40:09+00:00,2.0,2026-06-06T21:40:09+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-06 14:00,3.0,3.0,2,3,2026-06-06T21:40:09+00:00,3.0,2026-06-06T21:40:09+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-06 14:00,3.0,2.0,2,2,2026-06-06T21:40:09+00:00,3.0,2026-06-06T21:40:09+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-06 14:00,1.0,2.0,2,2,2026-06-06T21:40:09+00:00,1.0,2026-06-06T21:40:09+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-06 14:00,2.0,2.0,2,2,2026-06-06T21:40:09+00:00,2.0,2026-06-06T21:40:09+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-06 15:00,3.0,2.0,2,2,2026-06-06T21:40:09+00:00,3.0,2026-06-06T21:40:09+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-06 14:00,3.0,3.0,2,3,2026-06-06T21:40:09+00:00,3.0,2026-06-06T21:40:09+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-06 14:00,3.0,3.0,2,3,2026-06-06T21:40:09+00:00,3.0,2026-06-06T21:40:09+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-06 15:00,2.0,2.0,2,2,2026-06-06T21:40:09+00:00,2.0,2026-06-06T21:40:09+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-06 14:00,2.0,2.0,2,2,2026-06-06T21:40:09+00:00,2.0,2026-06-06T21:40:09+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-06 14:00,2.0,2.0,2,3,2026-06-06T21:40:09+00:00,2.0,2026-06-06T21:40:09+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-06 15:00,2.0,2.0,2,2,2026-06-06T21:40:09+00:00,,,,,OK
Edmonton,Edmonton,2026-06-06 22:00,2.0,,3,3,2026-06-07T05:51:34+00:00,2.0,2026-06-07T05:51:34+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-06 22:00,3.0,,2,3,2026-06-07T05:51:34+00:00,3.0,2026-06-07T05:51:34+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-06 22:00,2.0,,2,2,2026-06-07T05:51:34+00:00,2.0,2026-06-07T05:51:34+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-06 22:00,1.0,,2,2,2026-06-07T05:51:34+00:00,1.0,2026-06-07T05:51:34+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-06 22:00,2.0,,2,2,2026-06-07T05:51:34+00:00,1.0,2026-06-07T05:51:34+00:00,1.0,1.0,Minor difference
Lethbridge,Lethbridge,2026-06-06 22:00,2.0,,2,2,2026-06-07T05:51:34+00:00,2.0,2026-06-07T05:51:34+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-06 22:00,2.0,,2,3,2026-06-07T05:51:34+00:00,2.0,2026-06-07T05:51:34+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-06 22:00,2.0,,2,3,2026-06-07T05:51:34+00:00,2.0,2026-06-07T05:51:34+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-06 22:00,2.0,,2,2,2026-06-07T05:51:34+00:00,2.0,2026-06-07T05:51:34+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-06 19:00,2.0,,2,2,2026-06-07T05:51:34+00:00,,2026-06-07T05:51:34+00:00,,,OK
St. Albert,St. Albert,2026-06-06 22:00,3.0,,3,3,2026-06-07T05:51:34+00:00,3.0,2026-06-07T05:51:34+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-06 22:00,3.0,,3,3,2026-06-07T05:51:34+00:00,,,,,OK
Edmonton,Edmonton,2026-06-07 01:00,2.0,,3,3,2026-06-07T07:41:56+00:00,2.0,2026-06-07T07:41:56+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-07 00:00,2.0,,2,3,2026-06-07T07:41:56+00:00,2.0,2026-06-07T07:41:56+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-07 00:00,2.0,,2,2,2026-06-07T07:41:56+00:00,2.0,2026-06-07T07:41:56+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-07 00:00,1.0,,2,2,2026-06-07T07:41:56+00:00,1.0,2026-06-07T07:41:56+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-07 00:00,1.0,,2,2,2026-06-07T07:41:56+00:00,1.0,2026-06-07T07:41:56+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-07 01:00,2.0,,2,2,2026-06-07T07:41:56+00:00,2.0,2026-06-07T07:41:56+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-07 00:00,2.0,,2,3,2026-06-07T07:41:56+00:00,2.0,2026-06-07T07:41:56+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-07 00:00,2.0,,2,3,2026-06-07T07:41:56+00:00,2.0,2026-06-07T07:41:56+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-07 01:00,1.0,,2,2,2026-06-07T07:41:56+00:00,1.0,2026-06-07T07:41:56+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-06 19:00,2.0,,2,2,2026-06-07T07:41:56+00:00,,2026-06-07T07:41:56+00:00,,,OK
St. Albert,St. Albert,2026-06-07 01:00,2.0,,3,3,2026-06-07T07:41:56+00:00,2.0,2026-06-07T07:41:56+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-07 01:00,2.0,,3,3,2026-06-07T07:41:56+00:00,,,,,OK
Edmonton,Edmonton,2026-06-07 02:00,2.0,,3,3,2026-06-07T09:25:50+00:00,2.0,2026-06-07T09:25:51+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-07 02:00,2.0,,2,3,2026-06-07T09:25:50+00:00,2.0,2026-06-07T09:25:51+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-07 02:00,2.0,,2,2,2026-06-07T09:25:50+00:00,2.0,2026-06-07T09:25:51+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-07 02:00,1.0,,2,2,2026-06-07T09:25:50+00:00,1.0,2026-06-07T09:25:51+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-07 02:00,1.0,,2,2,2026-06-07T09:25:50+00:00,1.0,2026-06-07T09:25:51+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-07 02:00,2.0,,2,2,2026-06-07T09:25:50+00:00,2.0,2026-06-07T09:25:51+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-07 02:00,2.0,,2,3,2026-06-07T09:25:50+00:00,2.0,2026-06-07T09:25:51+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-07 02:00,2.0,,2,3,2026-06-07T09:25:50+00:00,2.0,2026-06-07T09:25:51+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-07 02:00,2.0,,2,2,2026-06-07T09:25:50+00:00,1.0,2026-06-07T09:25:51+00:00,1.0,1.0,Minor difference
Drayton Valley,Drayton Valley,,,,2,2,2026-06-07T09:25:50+00:00,,2026-06-07T09:25:51+00:00,,,OK
St. Albert,St. Albert,2026-06-07 02:00,2.0,,3,3,2026-06-07T09:25:50+00:00,2.0,2026-06-07T09:25:51+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-07 02:00,2.0,,3,3,2026-06-07T09:25:50+00:00,,,,,OK
Edmonton,Edmonton,2026-06-07 03:00,2.0,,3,3,2026-06-07T10:59:08+00:00,2.0,2026-06-07T10:59:08+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-07 03:00,2.0,,2,3,2026-06-07T10:59:08+00:00,2.0,2026-06-07T10:59:08+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-07 02:00,2.0,,2,2,2026-06-07T10:59:08+00:00,1.0,2026-06-07T10:59:08+00:00,1.0,1.0,Minor difference
Fort McMurray,Fort McMurray,2026-06-07 03:00,1.0,,2,2,2026-06-07T10:59:08+00:00,1.0,2026-06-07T10:59:08+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-07 03:00,1.0,,2,2,2026-06-07T10:59:08+00:00,1.0,2026-06-07T10:59:08+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-07 03:00,2.0,,2,2,2026-06-07T10:59:08+00:00,2.0,2026-06-07T10:59:08+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-07 03:00,2.0,,2,3,2026-06-07T10:59:08+00:00,2.0,2026-06-07T10:59:08+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-07 03:00,2.0,,2,3,2026-06-07T10:59:08+00:00,2.0,2026-06-07T10:59:08+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-07 03:00,1.0,,2,2,2026-06-07T10:59:08+00:00,1.0,2026-06-07T10:59:08+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,,,,2,2,2026-06-07T10:59:08+00:00,,2026-06-07T10:59:08+00:00,,,OK
St. Albert,St. Albert,2026-06-07 03:00,2.0,,3,3,2026-06-07T10:59:08+00:00,1.0,2026-06-07T10:59:08+00:00,1.0,1.0,Minor difference
Strathcona County,Sherwood Park,2026-06-07 02:00,2.0,,3,3,2026-06-07T10:59:08+00:00,,,,,OK
Edmonton,Edmonton,2026-06-07 05:00,2.0,,3,3,2026-06-07T11:55:38+00:00,2.0,2026-06-07T11:55:38+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-07 04:00,2.0,,2,3,2026-06-07T11:55:38+00:00,2.0,2026-06-07T11:55:38+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-07 05:00,1.0,,2,2,2026-06-07T11:55:38+00:00,1.0,2026-06-07T11:55:38+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-07 05:00,1.0,,2,2,2026-06-07T11:55:38+00:00,1.0,2026-06-07T11:55:38+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-07 05:00,1.0,,2,2,2026-06-07T11:55:38+00:00,1.0,2026-06-07T11:55:38+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-07 03:00,2.0,,2,2,2026-06-07T11:55:38+00:00,1.0,2026-06-07T11:55:38+00:00,1.0,1.0,Minor difference
Medicine Hat,Medicine Hat,2026-06-07 04:00,2.0,,2,3,2026-06-07T11:55:38+00:00,2.0,2026-06-07T11:55:38+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-07 04:00,2.0,,2,3,2026-06-07T11:55:38+00:00,2.0,2026-06-07T11:55:38+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-07 05:00,1.0,,2,2,2026-06-07T11:55:38+00:00,1.0,2026-06-07T11:55:38+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,,,,2,2,2026-06-07T11:55:38+00:00,,2026-06-07T11:55:38+00:00,,,OK
St. Albert,St. Albert,2026-06-07 04:00,1.0,,3,3,2026-06-07T11:55:38+00:00,1.0,2026-06-07T11:55:38+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-07 05:00,2.0,,3,3,2026-06-07T11:55:38+00:00,,,,,OK
Edmonton,Edmonton,2026-06-07 06:00,1.0,2.0,2,2,2026-06-07T17:44:23+00:00,2.0,2026-06-07T17:44:24+00:00,-1.0,1.0,Minor difference
Calgary,Calgary,2026-06-07 06:00,2.0,2.0,2,2,2026-06-07T17:44:23+00:00,2.0,2026-06-07T17:44:24+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-07 06:00,1.0,2.0,2,2,2026-06-07T17:44:23+00:00,2.0,2026-06-07T17:44:24+00:00,-1.0,1.0,Minor difference
Fort McMurray,Fort McMurray,2026-06-07 06:00,1.0,2.0,2,2,2026-06-07T17:44:23+00:00,1.0,2026-06-07T17:44:24+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-07 06:00,1.0,2.0,2,2,2026-06-07T17:44:23+00:00,1.0,2026-06-07T17:44:24+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-07 07:00,2.0,2.0,2,2,2026-06-07T17:44:23+00:00,2.0,2026-06-07T17:44:24+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-07 06:00,2.0,2.0,2,2,2026-06-07T17:44:23+00:00,2.0,2026-06-07T17:44:24+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-07 06:00,2.0,2.0,2,2,2026-06-07T17:44:23+00:00,2.0,2026-06-07T17:44:24+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-07 06:00,1.0,2.0,2,2,2026-06-07T17:44:23+00:00,2.0,2026-06-07T17:44:24+00:00,-1.0,1.0,Minor difference
Drayton Valley,Drayton Valley,,,2.0,2,2,2026-06-07T17:44:23+00:00,1.0,2026-06-07T17:44:24+00:00,,,OK
St. Albert,St. Albert,2026-06-07 06:00,1.0,2.0,2,2,2026-06-07T17:44:23+00:00,2.0,2026-06-07T17:44:24+00:00,-1.0,1.0,Minor difference
Strathcona County,Sherwood Park,2026-06-07 07:00,2.0,2.0,2,2,2026-06-07T17:44:23+00:00,,,,,OK
Edmonton,Edmonton,,,2.0,2,2,2026-06-07T19:48:19+00:00,2.0,2026-06-07T19:48:19+00:00,,,OK
Calgary,Calgary,,,2.0,2,2,2026-06-07T19:48:19+00:00,2.0,2026-06-07T19:48:19+00:00,,,OK
Red Deer,Red Deer,,,2.0,2,2,2026-06-07T19:48:19+00:00,2.0,2026-06-07T19:48:19+00:00,,,OK
Fort McMurray,Fort McMurray,,,2.0,2,2,2026-06-07T19:48:19+00:00,1.0,2026-06-07T19:48:19+00:00,,,OK
Grande Prairie,Grande Prairie,,,2.0,2,2,2026-06-07T19:48:19+00:00,1.0,2026-06-07T19:48:19+00:00,,,OK
Lethbridge,Lethbridge,2026-06-07 07:00,2.0,2.0,2,2,2026-06-07T19:48:19+00:00,2.0,2026-06-07T19:48:19+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,,,2.0,2,2,2026-06-07T19:48:19+00:00,2.0,2026-06-07T19:48:19+00:00,,,OK
Airdrie,Airdrie,,,2.0,2,2,2026-06-07T19:48:19+00:00,2.0,2026-06-07T19:48:19+00:00,,,OK
Cold Lake,Cold Lake,,,2.0,2,2,2026-06-07T19:48:19+00:00,2.0,2026-06-07T19:48:19+00:00,,,OK
Drayton Valley,Drayton Valley,,,2.0,2,2,2026-06-07T19:48:19+00:00,1.0,2026-06-07T19:48:19+00:00,,,OK
St. Albert,St. Albert,,,2.0,2,2,2026-06-07T19:48:19+00:00,2.0,2026-06-07T19:48:19+00:00,,,OK
Strathcona County,Sherwood Park,2026-06-07 07:00,2.0,2.0,2,2,2026-06-07T19:48:19+00:00,,,,,OK
Edmonton,Edmonton,2026-06-07 13:00,2.0,2.0,2,2,2026-06-07T20:43:26+00:00,2.0,2026-06-07T20:43:26+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-07 13:00,2.0,2.0,2,2,2026-06-07T20:43:26+00:00,2.0,2026-06-07T20:43:26+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-07 13:00,2.0,2.0,2,2,2026-06-07T20:43:26+00:00,2.0,2026-06-07T20:43:26+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-07 13:00,1.0,2.0,2,2,2026-06-07T20:43:26+00:00,2.0,2026-06-07T20:43:26+00:00,-1.0,1.0,Minor difference
Grande Prairie,Grande Prairie,2026-06-07 13:00,2.0,2.0,2,2,2026-06-07T20:43:26+00:00,2.0,2026-06-07T20:43:26+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-07 13:00,2.0,2.0,2,2,2026-06-07T20:43:26+00:00,2.0,2026-06-07T20:43:26+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-07 13:00,2.0,2.0,2,2,2026-06-07T20:43:26+00:00,2.0,2026-06-07T20:43:26+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-07 13:00,2.0,2.0,2,2,2026-06-07T20:43:26+00:00,2.0,2026-06-07T20:43:26+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-07 14:00,2.0,2.0,2,2,2026-06-07T20:43:26+00:00,2.0,2026-06-07T20:43:26+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,,,2.0,2,2,2026-06-07T20:43:26+00:00,2.0,2026-06-07T20:43:26+00:00,,,OK
St. Albert,St. Albert,2026-06-07 13:00,2.0,2.0,2,2,2026-06-07T20:43:26+00:00,2.0,2026-06-07T20:43:26+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-07 13:00,2.0,2.0,2,2,2026-06-07T20:43:26+00:00,,,,,OK
Edmonton,Edmonton,2026-06-07 15:00,2.0,2.0,2,2,2026-06-07T21:42:59+00:00,2.0,2026-06-07T21:42:59+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-07 15:00,2.0,2.0,2,2,2026-06-07T21:42:59+00:00,2.0,2026-06-07T21:42:59+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-07 15:00,2.0,2.0,2,2,2026-06-07T21:42:59+00:00,2.0,2026-06-07T21:42:59+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-07 15:00,2.0,2.0,2,2,2026-06-07T21:42:59+00:00,2.0,2026-06-07T21:42:59+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-07 15:00,2.0,2.0,2,2,2026-06-07T21:42:59+00:00,2.0,2026-06-07T21:42:59+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-07 14:00,2.0,2.0,2,2,2026-06-07T21:42:59+00:00,2.0,2026-06-07T21:42:59+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-07 15:00,2.0,2.0,2,2,2026-06-07T21:42:59+00:00,2.0,2026-06-07T21:42:59+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-07 15:00,2.0,2.0,2,2,2026-06-07T21:42:59+00:00,2.0,2026-06-07T21:42:59+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-07 15:00,2.0,2.0,2,2,2026-06-07T21:42:59+00:00,2.0,2026-06-07T21:42:59+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-07 15:00,2.0,2.0,2,2,2026-06-07T21:42:59+00:00,2.0,2026-06-07T21:42:59+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-07 15:00,2.0,2.0,2,2,2026-06-07T21:42:59+00:00,2.0,2026-06-07T21:42:59+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-07 15:00,2.0,2.0,2,2,2026-06-07T21:42:59+00:00,,,,,OK
Edmonton,Edmonton,2026-06-07 16:00,2.0,2.0,2,2,2026-06-07T22:40:20+00:00,2.0,2026-06-07T22:40:21+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-07 16:00,2.0,2.0,2,2,2026-06-07T22:40:20+00:00,2.0,2026-06-07T22:40:21+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-07 16:00,2.0,2.0,2,2,2026-06-07T22:40:20+00:00,2.0,2026-06-07T22:40:21+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-07 16:00,2.0,2.0,2,2,2026-06-07T22:40:20+00:00,2.0,2026-06-07T22:40:21+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-07 16:00,2.0,2.0,2,2,2026-06-07T22:40:20+00:00,2.0,2026-06-07T22:40:21+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-07 16:00,2.0,2.0,2,2,2026-06-07T22:40:20+00:00,2.0,2026-06-07T22:40:21+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-07 16:00,2.0,2.0,2,2,2026-06-07T22:40:20+00:00,2.0,2026-06-07T22:40:21+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-07 16:00,2.0,2.0,2,2,2026-06-07T22:40:20+00:00,2.0,2026-06-07T22:40:21+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-07 16:00,2.0,2.0,2,2,2026-06-07T22:40:20+00:00,2.0,2026-06-07T22:40:21+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-07 16:00,2.0,2.0,2,2,2026-06-07T22:40:20+00:00,2.0,2026-06-07T22:40:21+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-07 16:00,2.0,2.0,2,2,2026-06-07T22:40:20+00:00,2.0,2026-06-07T22:40:21+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-07 16:00,2.0,2.0,2,2,2026-06-07T22:40:20+00:00,,,,,OK
Edmonton,Edmonton,2026-06-07 17:00,2.0,,2,2,2026-06-07T23:39:24+00:00,2.0,2026-06-07T23:39:24+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-07 17:00,2.0,,3,3,2026-06-07T23:39:24+00:00,2.0,2026-06-07T23:39:24+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-07 17:00,2.0,,3,2,2026-06-07T23:39:24+00:00,2.0,2026-06-07T23:39:24+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-07 17:00,2.0,,2,2,2026-06-07T23:39:24+00:00,2.0,2026-06-07T23:39:24+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-07 17:00,2.0,,2,2,2026-06-07T23:39:24+00:00,2.0,2026-06-07T23:39:24+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-07 17:00,2.0,,3,2,2026-06-07T23:39:24+00:00,2.0,2026-06-07T23:39:24+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-07 17:00,3.0,,3,3,2026-06-07T23:39:24+00:00,3.0,2026-06-07T23:39:24+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-07 17:00,2.0,,3,3,2026-06-07T23:39:24+00:00,2.0,2026-06-07T23:39:24+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-07 17:00,2.0,,2,2,2026-06-07T23:39:24+00:00,2.0,2026-06-07T23:39:24+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-07 17:00,1.0,,2,2,2026-06-07T23:39:24+00:00,1.0,2026-06-07T23:39:24+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-07 17:00,2.0,,2,2,2026-06-07T23:39:24+00:00,2.0,2026-06-07T23:39:24+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-07 17:00,2.0,,2,2,2026-06-07T23:39:24+00:00,,,,,OK
Edmonton,Edmonton,2026-06-07 18:00,2.0,,2,2,2026-06-08T01:27:27+00:00,2.0,2026-06-08T01:27:27+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-07 18:00,2.0,,3,3,2026-06-08T01:27:27+00:00,2.0,2026-06-08T01:27:27+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-07 18:00,2.0,,3,2,2026-06-08T01:27:27+00:00,2.0,2026-06-08T01:27:27+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-07 18:00,2.0,,2,2,2026-06-08T01:27:27+00:00,2.0,2026-06-08T01:27:27+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-07 18:00,2.0,,2,2,2026-06-08T01:27:27+00:00,2.0,2026-06-08T01:27:27+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-07 19:00,2.0,,3,2,2026-06-08T01:27:27+00:00,2.0,2026-06-08T01:27:27+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-07 18:00,3.0,,3,3,2026-06-08T01:27:27+00:00,3.0,2026-06-08T01:27:27+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-07 18:00,2.0,,3,3,2026-06-08T01:27:27+00:00,2.0,2026-06-08T01:27:27+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-07 19:00,2.0,,2,2,2026-06-08T01:27:27+00:00,2.0,2026-06-08T01:27:27+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-07 18:00,1.0,,2,2,2026-06-08T01:27:27+00:00,1.0,2026-06-08T01:27:27+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-07 18:00,2.0,,2,2,2026-06-08T01:27:27+00:00,2.0,2026-06-08T01:27:27+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-07 19:00,2.0,,2,2,2026-06-08T01:27:27+00:00,,,,,OK
Edmonton,Edmonton,2026-06-07 21:00,2.0,,2,2,2026-06-08T03:28:02+00:00,2.0,2026-06-08T03:28:02+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-07 20:00,2.0,,3,3,2026-06-08T03:28:02+00:00,2.0,2026-06-08T03:28:02+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-07 20:00,2.0,,3,2,2026-06-08T03:28:02+00:00,2.0,2026-06-08T03:28:02+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-07 20:00,2.0,,2,2,2026-06-08T03:28:02+00:00,2.0,2026-06-08T03:28:02+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-07 20:00,2.0,,2,2,2026-06-08T03:28:02+00:00,2.0,2026-06-08T03:28:02+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-07 19:00,2.0,,3,2,2026-06-08T03:28:02+00:00,2.0,2026-06-08T03:28:02+00:00,0.0,0.0,OK
