community_ab,community_eccc,ab_reading_date,ab_current_aqhi,ab_forecast_today,ab_forecast_tomorrow,ab_forecast_tonight,ab_pulled_at_utc,eccc_current_aqhi,eccc_pulled_at_utc,diff_ab_minus_eccc,abs_diff,flag
Edmonton,Edmonton,2026-06-30 20:00,3.0,,5,5,2026-07-01T03:27:23+00:00,3.0,2026-07-01T03:27:23+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-30 20:00,5.0,,4,7,2026-07-01T03:27:23+00:00,5.0,2026-07-01T03:27:23+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-30 20:00,3.0,,4,5,2026-07-01T03:27:23+00:00,3.0,2026-07-01T03:27:23+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-30 20:00,6.0,,5,7,2026-07-01T03:27:23+00:00,6.0,2026-07-01T03:27:23+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-06-30 20:00,2.0,,3,3,2026-07-01T03:27:23+00:00,2.0,2026-07-01T03:27:23+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-30 20:00,4.0,,4,5,2026-07-01T03:27:23+00:00,3.0,2026-07-01T03:27:23+00:00,1.0,1.0,Minor difference
Medicine Hat,Medicine Hat,2026-06-30 20:00,2.0,,4,5,2026-07-01T03:27:23+00:00,2.0,2026-07-01T03:27:23+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-30 20:00,4.0,,4,7,2026-07-01T03:27:23+00:00,4.0,2026-07-01T03:27:23+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-06-30 20:00,5.0,,6,9,2026-07-01T03:27:23+00:00,5.0,2026-07-01T03:27:23+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-30 20:00,3.0,,4,5,2026-07-01T03:27:23+00:00,3.0,2026-07-01T03:27:23+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-30 20:00,3.0,,5,5,2026-07-01T03:27:23+00:00,3.0,2026-07-01T03:27:23+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-30 20:00,3.0,,5,5,2026-07-01T03:27:23+00:00,,,,,OK
Edmonton,Edmonton,2026-06-30 22:00,3.0,,5,5,2026-07-01T05:52:31+00:00,3.0,2026-07-01T05:52:31+00:00,0.0,0.0,OK
Calgary,Calgary,2026-06-30 22:00,5.0,,4,5,2026-07-01T05:52:31+00:00,5.0,2026-07-01T05:52:31+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-06-30 22:00,3.0,,4,5,2026-07-01T05:52:31+00:00,3.0,2026-07-01T05:52:31+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-06-30 22:00,6.0,,5,7,2026-07-01T05:52:31+00:00,9.0,2026-07-01T05:52:31+00:00,-3.0,3.0,Major difference
Grande Prairie,Grande Prairie,2026-06-30 22:00,1.0,,3,3,2026-07-01T05:52:31+00:00,1.0,2026-07-01T05:52:31+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-06-30 23:00,2.0,,4,5,2026-07-01T05:52:31+00:00,2.0,2026-07-01T05:52:31+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-06-30 22:00,2.0,,4,5,2026-07-01T05:52:31+00:00,2.0,2026-07-01T05:52:31+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-06-30 22:00,4.0,,4,5,2026-07-01T05:52:31+00:00,3.0,2026-07-01T05:52:31+00:00,1.0,1.0,Minor difference
Cold Lake,Cold Lake,2026-06-30 23:00,5.0,,6,9,2026-07-01T05:52:31+00:00,5.0,2026-07-01T05:52:31+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-06-30 22:00,3.0,,4,5,2026-07-01T05:52:31+00:00,3.0,2026-07-01T05:52:31+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-06-30 22:00,3.0,,5,5,2026-07-01T05:52:31+00:00,3.0,2026-07-01T05:52:31+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-06-30 23:00,2.0,,5,5,2026-07-01T05:52:31+00:00,,,,,OK
Edmonton,Edmonton,2026-07-01 01:00,3.0,,5,5,2026-07-01T07:49:40+00:00,3.0,2026-07-01T07:49:40+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-01 01:00,4.0,,4,5,2026-07-01T07:49:40+00:00,4.0,2026-07-01T07:49:40+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-01 01:00,3.0,,4,5,2026-07-01T07:49:40+00:00,3.0,2026-07-01T07:49:40+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-07-01 01:00,7.0,,5,7,2026-07-01T07:49:40+00:00,7.0,2026-07-01T07:49:40+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-01 01:00,1.0,,3,3,2026-07-01T07:49:40+00:00,1.0,2026-07-01T07:49:40+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-07-01 01:00,2.0,,4,5,2026-07-01T07:49:40+00:00,2.0,2026-07-01T07:49:40+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-01 01:00,2.0,,4,5,2026-07-01T07:49:40+00:00,2.0,2026-07-01T07:49:40+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-01 01:00,3.0,,4,5,2026-07-01T07:49:40+00:00,3.0,2026-07-01T07:49:40+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-01 01:00,5.0,,6,9,2026-07-01T07:49:40+00:00,5.0,2026-07-01T07:49:40+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-01 01:00,3.0,,4,5,2026-07-01T07:49:40+00:00,3.0,2026-07-01T07:49:40+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-07-01 01:00,3.0,,5,5,2026-07-01T07:49:40+00:00,3.0,2026-07-01T07:49:40+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-07-01 01:00,2.0,,5,5,2026-07-01T07:49:40+00:00,,,,,OK
Edmonton,Edmonton,2026-07-01 02:00,2.0,,5,5,2026-07-01T09:28:46+00:00,2.0,2026-07-01T09:28:46+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-01 02:00,4.0,,4,5,2026-07-01T09:28:46+00:00,4.0,2026-07-01T09:28:46+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-01 02:00,3.0,,4,5,2026-07-01T09:28:46+00:00,3.0,2026-07-01T09:28:46+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-07-01 02:00,7.0,,5,7,2026-07-01T09:28:46+00:00,7.0,2026-07-01T09:28:46+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-01 02:00,1.0,,3,3,2026-07-01T09:28:46+00:00,1.0,2026-07-01T09:28:46+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-07-01 03:00,1.0,,4,5,2026-07-01T09:28:46+00:00,1.0,2026-07-01T09:28:46+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-01 02:00,2.0,,4,5,2026-07-01T09:28:46+00:00,2.0,2026-07-01T09:28:46+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-01 02:00,3.0,,4,5,2026-07-01T09:28:46+00:00,3.0,2026-07-01T09:28:46+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-01 03:00,5.0,,6,9,2026-07-01T09:28:46+00:00,5.0,2026-07-01T09:28:46+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-01 02:00,3.0,,4,5,2026-07-01T09:28:46+00:00,3.0,2026-07-01T09:28:46+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-07-01 02:00,3.0,,5,5,2026-07-01T09:28:46+00:00,3.0,2026-07-01T09:28:46+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-07-01 03:00,3.0,,5,5,2026-07-01T09:28:46+00:00,,,,,OK
Edmonton,Edmonton,2026-07-01 04:00,2.0,,5,5,2026-07-01T11:26:21+00:00,2.0,2026-07-01T11:26:22+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-01 04:00,4.0,,4,5,2026-07-01T11:26:21+00:00,4.0,2026-07-01T11:26:22+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-01 04:00,3.0,,4,5,2026-07-01T11:26:21+00:00,3.0,2026-07-01T11:26:22+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-07-01 04:00,6.0,,5,7,2026-07-01T11:26:21+00:00,6.0,2026-07-01T11:26:22+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-01 03:00,1.0,,3,3,2026-07-01T11:26:21+00:00,1.0,2026-07-01T11:26:22+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-07-01 03:00,1.0,,4,5,2026-07-01T11:26:21+00:00,1.0,2026-07-01T11:26:22+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-01 04:00,3.0,,4,5,2026-07-01T11:26:21+00:00,3.0,2026-07-01T11:26:22+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-01 04:00,3.0,,4,5,2026-07-01T11:26:21+00:00,3.0,2026-07-01T11:26:22+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-01 05:00,5.0,,6,9,2026-07-01T11:26:21+00:00,5.0,2026-07-01T11:26:22+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-01 04:00,3.0,,4,5,2026-07-01T11:26:21+00:00,3.0,2026-07-01T11:26:22+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-07-01 04:00,3.0,,5,5,2026-07-01T11:26:21+00:00,3.0,2026-07-01T11:26:22+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-07-01 05:00,2.0,,5,5,2026-07-01T11:26:21+00:00,,,,,OK
Edmonton,Edmonton,2026-07-01 06:00,3.0,4.0,3,4,2026-07-01T13:14:50+00:00,3.0,2026-07-01T13:14:50+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-01 06:00,4.0,4.0,3,4,2026-07-01T13:14:50+00:00,4.0,2026-07-01T13:14:50+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-01 06:00,3.0,4.0,3,4,2026-07-01T13:14:50+00:00,3.0,2026-07-01T13:14:50+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-07-01 06:00,5.0,7.0,3,4,2026-07-01T13:14:50+00:00,5.0,2026-07-01T13:14:50+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-01 06:00,1.0,2.0,2,2,2026-07-01T13:14:50+00:00,1.0,2026-07-01T13:14:50+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-07-01 03:00,1.0,2.0,3,2,2026-07-01T13:14:50+00:00,1.0,2026-07-01T13:14:50+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-01 06:00,3.0,4.0,3,4,2026-07-01T13:14:50+00:00,3.0,2026-07-01T13:14:50+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-01 06:00,3.0,4.0,3,4,2026-07-01T13:14:50+00:00,3.0,2026-07-01T13:14:50+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-01 05:00,5.0,7.0,3,5,2026-07-01T13:14:50+00:00,5.0,2026-07-01T13:14:50+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-01 06:00,3.0,4.0,3,4,2026-07-01T13:14:50+00:00,3.0,2026-07-01T13:14:50+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-07-01 06:00,3.0,4.0,3,4,2026-07-01T13:14:50+00:00,3.0,2026-07-01T13:14:50+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-07-01 06:00,2.0,4.0,3,4,2026-07-01T13:14:50+00:00,,,,,OK
Edmonton,Edmonton,2026-07-01 07:00,3.0,4.0,3,4,2026-07-01T14:05:26+00:00,3.0,2026-07-01T14:05:26+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-01 07:00,4.0,4.0,3,4,2026-07-01T14:05:26+00:00,4.0,2026-07-01T14:05:26+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-01 07:00,3.0,4.0,3,4,2026-07-01T14:05:26+00:00,3.0,2026-07-01T14:05:26+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-07-01 07:00,6.0,7.0,3,4,2026-07-01T14:05:26+00:00,6.0,2026-07-01T14:05:26+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-01 07:00,1.0,2.0,2,2,2026-07-01T14:05:26+00:00,1.0,2026-07-01T14:05:26+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-07-01 07:00,1.0,2.0,3,2,2026-07-01T14:05:26+00:00,1.0,2026-07-01T14:05:26+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-01 07:00,3.0,4.0,3,4,2026-07-01T14:05:26+00:00,3.0,2026-07-01T14:05:26+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-01 07:00,3.0,4.0,3,4,2026-07-01T14:05:26+00:00,3.0,2026-07-01T14:05:26+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-01 07:00,5.0,7.0,3,5,2026-07-01T14:05:26+00:00,5.0,2026-07-01T14:05:26+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-01 07:00,2.0,4.0,3,4,2026-07-01T14:05:26+00:00,2.0,2026-07-01T14:05:26+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-07-01 07:00,3.0,4.0,3,4,2026-07-01T14:05:26+00:00,3.0,2026-07-01T14:05:26+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-07-01 07:00,2.0,4.0,3,4,2026-07-01T14:05:26+00:00,,,,,OK
Edmonton,Edmonton,2026-07-01 08:00,3.0,4.0,3,4,2026-07-01T15:15:56+00:00,3.0,2026-07-01T15:15:56+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-01 08:00,4.0,4.0,3,4,2026-07-01T15:15:56+00:00,4.0,2026-07-01T15:15:56+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-01 08:00,3.0,4.0,3,4,2026-07-01T15:15:56+00:00,3.0,2026-07-01T15:15:56+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-07-01 08:00,7.0,7.0,3,4,2026-07-01T15:15:56+00:00,7.0,2026-07-01T15:15:56+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-01 08:00,1.0,2.0,2,2,2026-07-01T15:15:56+00:00,1.0,2026-07-01T15:15:56+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-07-01 08:00,1.0,2.0,3,2,2026-07-01T15:15:56+00:00,1.0,2026-07-01T15:15:56+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-01 08:00,2.0,4.0,3,4,2026-07-01T15:15:56+00:00,2.0,2026-07-01T15:15:56+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-01 08:00,3.0,4.0,3,4,2026-07-01T15:15:56+00:00,3.0,2026-07-01T15:15:56+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-01 08:00,5.0,7.0,3,5,2026-07-01T15:15:56+00:00,5.0,2026-07-01T15:15:56+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-01 08:00,2.0,4.0,3,4,2026-07-01T15:15:56+00:00,2.0,2026-07-01T15:15:56+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-07-01 08:00,3.0,4.0,3,4,2026-07-01T15:15:56+00:00,3.0,2026-07-01T15:15:56+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-07-01 08:00,2.0,4.0,3,4,2026-07-01T15:15:56+00:00,,,,,OK
Edmonton,Edmonton,2026-07-01 11:00,3.0,4.0,3,4,2026-07-01T17:56:37+00:00,3.0,2026-07-01T17:56:38+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-01 11:00,4.0,4.0,3,4,2026-07-01T17:56:37+00:00,4.0,2026-07-01T17:56:38+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-01 11:00,3.0,4.0,3,4,2026-07-01T17:56:37+00:00,3.0,2026-07-01T17:56:38+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-07-01 11:00,10.0,7.0,3,4,2026-07-01T17:56:37+00:00,10.0,2026-07-01T17:56:38+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-01 11:00,1.0,2.0,2,2,2026-07-01T17:56:37+00:00,1.0,2026-07-01T17:56:38+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-07-01 11:00,2.0,2.0,3,2,2026-07-01T17:56:37+00:00,2.0,2026-07-01T17:56:38+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-01 11:00,2.0,4.0,3,4,2026-07-01T17:56:37+00:00,2.0,2026-07-01T17:56:38+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-01 11:00,3.0,4.0,3,4,2026-07-01T17:56:37+00:00,3.0,2026-07-01T17:56:38+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-01 11:00,5.0,7.0,3,5,2026-07-01T17:56:37+00:00,5.0,2026-07-01T17:56:38+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-01 11:00,2.0,4.0,3,4,2026-07-01T17:56:37+00:00,2.0,2026-07-01T17:56:38+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-07-01 11:00,3.0,4.0,3,4,2026-07-01T17:56:37+00:00,3.0,2026-07-01T17:56:38+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-07-01 11:00,3.0,4.0,3,4,2026-07-01T17:56:37+00:00,,,,,OK
Edmonton,Edmonton,2026-07-01 12:00,3.0,4.0,3,4,2026-07-01T18:57:35+00:00,3.0,2026-07-01T18:57:35+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-01 12:00,4.0,4.0,3,4,2026-07-01T18:57:35+00:00,4.0,2026-07-01T18:57:35+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-01 12:00,3.0,4.0,3,4,2026-07-01T18:57:35+00:00,3.0,2026-07-01T18:57:35+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-07-01 12:00,10.0,7.0,3,4,2026-07-01T18:57:35+00:00,10.0,2026-07-01T18:57:35+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-01 12:00,1.0,2.0,2,2,2026-07-01T18:57:35+00:00,1.0,2026-07-01T18:57:35+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-07-01 12:00,2.0,2.0,3,2,2026-07-01T18:57:35+00:00,2.0,2026-07-01T18:57:35+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-01 12:00,2.0,4.0,3,4,2026-07-01T18:57:35+00:00,2.0,2026-07-01T18:57:35+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-01 12:00,4.0,4.0,3,4,2026-07-01T18:57:35+00:00,4.0,2026-07-01T18:57:35+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-01 12:00,5.0,7.0,3,5,2026-07-01T18:57:35+00:00,5.0,2026-07-01T18:57:35+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-01 12:00,2.0,4.0,3,4,2026-07-01T18:57:35+00:00,2.0,2026-07-01T18:57:35+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-07-01 12:00,3.0,4.0,3,4,2026-07-01T18:57:35+00:00,3.0,2026-07-01T18:57:35+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-07-01 12:00,3.0,4.0,3,4,2026-07-01T18:57:35+00:00,,,,,OK
Edmonton,Edmonton,2026-07-01 13:00,3.0,4.0,3,4,2026-07-01T19:56:36+00:00,3.0,2026-07-01T19:56:37+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-01 13:00,4.0,4.0,3,4,2026-07-01T19:56:36+00:00,4.0,2026-07-01T19:56:37+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-01 13:00,3.0,4.0,3,4,2026-07-01T19:56:36+00:00,3.0,2026-07-01T19:56:37+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-07-01 13:00,10.0,7.0,3,4,2026-07-01T19:56:36+00:00,10.0,2026-07-01T19:56:37+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-01 13:00,2.0,2.0,2,2,2026-07-01T19:56:36+00:00,2.0,2026-07-01T19:56:37+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-07-01 13:00,2.0,2.0,3,2,2026-07-01T19:56:36+00:00,2.0,2026-07-01T19:56:37+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-01 13:00,2.0,4.0,3,4,2026-07-01T19:56:36+00:00,2.0,2026-07-01T19:56:37+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-01 13:00,4.0,4.0,3,4,2026-07-01T19:56:36+00:00,4.0,2026-07-01T19:56:37+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-01 13:00,5.0,7.0,3,5,2026-07-01T19:56:36+00:00,5.0,2026-07-01T19:56:37+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-01 13:00,2.0,4.0,3,4,2026-07-01T19:56:36+00:00,2.0,2026-07-01T19:56:37+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-07-01 13:00,3.0,4.0,3,4,2026-07-01T19:56:36+00:00,3.0,2026-07-01T19:56:37+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-07-01 13:00,3.0,4.0,3,4,2026-07-01T19:56:36+00:00,,,,,OK
Edmonton,Edmonton,2026-07-01 14:00,3.0,4.0,3,4,2026-07-01T20:52:27+00:00,3.0,2026-07-01T20:52:27+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-01 14:00,4.0,4.0,3,4,2026-07-01T20:52:27+00:00,4.0,2026-07-01T20:52:27+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-01 14:00,3.0,4.0,3,4,2026-07-01T20:52:27+00:00,3.0,2026-07-01T20:52:27+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-07-01 14:00,9.0,7.0,3,4,2026-07-01T20:52:27+00:00,9.0,2026-07-01T20:52:27+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-01 14:00,2.0,2.0,2,2,2026-07-01T20:52:27+00:00,2.0,2026-07-01T20:52:27+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-07-01 14:00,2.0,2.0,3,2,2026-07-01T20:52:27+00:00,2.0,2026-07-01T20:52:27+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-01 14:00,2.0,4.0,3,4,2026-07-01T20:52:27+00:00,2.0,2026-07-01T20:52:27+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-01 14:00,4.0,4.0,3,4,2026-07-01T20:52:27+00:00,4.0,2026-07-01T20:52:27+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-01 14:00,7.0,7.0,3,5,2026-07-01T20:52:27+00:00,7.0,2026-07-01T20:52:27+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-01 14:00,2.0,4.0,3,4,2026-07-01T20:52:27+00:00,2.0,2026-07-01T20:52:27+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-07-01 14:00,3.0,4.0,3,4,2026-07-01T20:52:27+00:00,3.0,2026-07-01T20:52:27+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-07-01 14:00,3.0,4.0,3,4,2026-07-01T20:52:27+00:00,,,,,OK
Edmonton,Edmonton,2026-07-01 15:00,3.0,4.0,3,4,2026-07-01T21:48:48+00:00,3.0,2026-07-01T21:48:48+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-01 15:00,4.0,4.0,3,4,2026-07-01T21:48:48+00:00,4.0,2026-07-01T21:48:48+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-01 14:00,3.0,4.0,3,4,2026-07-01T21:48:48+00:00,4.0,2026-07-01T21:48:48+00:00,-1.0,1.0,Minor difference
Fort McMurray,Fort McMurray,2026-07-01 15:00,8.0,7.0,3,4,2026-07-01T21:48:48+00:00,8.0,2026-07-01T21:48:48+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-01 15:00,2.0,2.0,2,2,2026-07-01T21:48:48+00:00,2.0,2026-07-01T21:48:48+00:00,0.0,0.0,OK
Lethbridge,Lethbridge,2026-07-01 15:00,2.0,2.0,3,2,2026-07-01T21:48:48+00:00,2.0,2026-07-01T21:48:48+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-01 15:00,2.0,4.0,3,4,2026-07-01T21:48:48+00:00,2.0,2026-07-01T21:48:48+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-01 15:00,3.0,4.0,3,4,2026-07-01T21:48:48+00:00,3.0,2026-07-01T21:48:48+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-01 15:00,5.0,7.0,3,5,2026-07-01T21:48:48+00:00,5.0,2026-07-01T21:48:48+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-01 15:00,3.0,4.0,3,4,2026-07-01T21:48:48+00:00,3.0,2026-07-01T21:48:48+00:00,0.0,0.0,OK
